S/N,Procurement Code,Procurement Type,Agency,Procurement Description,Date of Award (2017-2022),Supplier, Awarded Amount 
6605,ITT20210738,ITT,Department of Public Health and Disease Control,Building maintenance and repairs.,18/11/2021,TruePro Building Experts," $371,979.00 "
6606,ITT20210739,ITT,Commission for Ethical Governance,Expert landscaping and groundskeeping solutions.,18/11/2021,SwiftCrest Property Management," $377,282.00 "
6607,ITT20210740,ITT,National Institute of Scientific Advancement,Energy-efficient lighting installation and maintenance.,18/11/2021,UrbanTech Management," $402,772.00 "
6608,ITT20210741,ITT,Agency for Cultural Preservation and Heritage,Furniture and equipment maintenance and inventory tracking.,19/11/2021,BlueReach Property Solutions," $308,011.00 "
6609,ITT20210742,ITT,National Institute of Scientific Advancement,Energy-efficient lighting installation and maintenance.,19/11/2021,AlphaTech Facilities Management," $385,589.00 "
6610,ITT20210743,ITT,Office of International Relations and Diplomatic Affairs,Comprehensive janitorial services and cleanliness maintenance.,19/11/2021,FreshEdge Facility Support," $419,331.00 "
6611,ITT20210744,ITT,Department of Advanced Technological Research,Energy-efficient lighting installation and maintenance.,19/11/2021,BlueSail Property Experts," $468,586.00 "
6612,ITT20210745,ITT,Office of International Relations and Diplomatic Affairs,Emergency response and disaster recovery planning.,20/11/2021,StarStone Facility Services," $253,037.00 "
6613,ITT20210746,ITT,National Institute of Scientific Advancement,Waste management and recycling program implementation.,20/11/2021,AlphaTech Facilities Management," $279,333.00 "
6614,ITT20210747,ITT,Bureau of National Security and Intelligence,Indoor air quality monitoring and improvement measures.,21/11/2021,TrueView Management," $397,927.00 "
6615,ITT20210748,ITT,Institute for Social Justice and Equality,Pest control services for a pest-free environment.,22/11/2021,SwiftCrest Property Management," $133,604.00 "
6616,ITT20210749,ITT,Federal Agency for Environmental Protection,Pest control services for a pest-free environment.,23/11/2021,GoldenGate Facility Masters," $101,856.00 "
6617,ITT20210750,ITT,Agency for Cultural Preservation and Heritage,Waste management and recycling program implementation.,23/11/2021,ApexGuard Facility Services," $121,357.00 "
6618,ITT20210751,ITT,Office of International Relations and Diplomatic Affairs,Comprehensive janitorial services and cleanliness maintenance.,23/11/2021,BlueSail Property Experts," $473,324.00 "
6619,ITT20210752,ITT,Bureau of Urban Development and Infrastructure,Parking management and traffic control solutions.,23/11/2021,StarStone Facility Services," $2,337,266.00 "
6620,ITT20210753,ITT,National Institute of Scientific Advancement,Indoor air quality monitoring and improvement measures.,24/11/2021,SkyStone Property Solutions," $219,443.00 "
6621,ITT20210754,ITT,Office of International Relations and Diplomatic Affairs,Parking management and traffic control solutions.,26/11/2021,GrandReach Facility Care," $169,399.00 "
6622,ITT20210755,ITT,Department of Public Health and Disease Control,Cleaning supplies and consumables procurement and management.,27/11/2021,InfiniteSpace Building Solutions," $267,856.00 "
6623,ITT20210756,ITT,Institute for Social Justice and Equality,Energy-efficient lighting installation and maintenance.,27/11/2021,SkyQuest Facility Care," $439,677.00 "
6624,ITT20210757,ITT,National Commission for Space Exploration,Expert landscaping and groundskeeping solutions.,28/11/2021,SecureSpace Management," $260,632.00 "
6625,ITT20210758,ITT,Department of Energy Conservation and Sustainability,Pest control services for a pest-free environment.,28/11/2021,UrbanGuard Facilities," $537,467.00 "
6626,ITT20210759,ITT,Institute for Social Justice and Equality,Renovation and remodeling project management.,29/11/2021,GoldenHarbor Management," $185,734.00 "
6627,ITT20210760,ITT,Department of Advanced Technological Research,Parking management and traffic control solutions.,29/11/2021,SecurePrime Management," $199,311.00 "
6628,ITT20210761,ITT,Institute for Social Justice and Equality,Waste management and recycling program implementation.,29/11/2021,UrbanReach Facility Support," $327,479.00 "
6629,ITT20210762,ITT,Commission for Ethical Governance,Comprehensive janitorial services and cleanliness maintenance.,29/11/2021,SkyHigh Property Management," $379,828.00 "
6630,ITT20210763,ITT,Department of Advanced Technological Research,Indoor air quality monitoring and improvement measures.,30/11/2021,SkyHigh Property Management," $189,668.00 "
6631,ITT20210764,ITT,Office of International Relations and Diplomatic Affairs,Pest control services for a pest-free environment.,30/11/2021,GreenLine Building Experts," $194,152.00 "
6632,ITT20210765,ITT,Department of Advanced Technological Research,Renovation and remodeling project management.,30/11/2021,GreenWave Facilities Management," $212,305.00 "
6633,ITT20210766,ITT,Agency for Cultural Preservation and Heritage,Space planning and utilization optimization strategies.,1/12/2021,TrustGuard Facilities," $129,522.00 "
6634,ITT20210767,ITT,Federal Agency for Environmental Protection,Fire safety system installation and maintenance.,1/12/2021,AlphaStone Property Support," $144,342.00 "
6635,ITT20210768,ITT,Bureau of National Security and Intelligence,Waste management and recycling program implementation.,1/12/2021,UrbanEagle Maintenance," $212,054.00 "
6636,ITT20210769,ITT,Office of Public Safety and Emergency Management,Expert landscaping and groundskeeping solutions.,2/12/2021,EliteCare Facility Support," $310,217.00 "
6637,ITT20210770,ITT,National Cybersecurity Task Force,Furniture and equipment maintenance and inventory tracking.,2/12/2021,GreenLine Building Experts," $329,385.00 "
6638,ITT20210771,ITT,Office of Public Safety and Emergency Management,Pest control services for a pest-free environment.,3/12/2021,ApexGuard Facility Services," $199,795.00 "
6639,ITT20210772,ITT,Ministry of Strategic Economic Planning,Building automation and smart technology integration.,3/12/2021,UrbanEagle Maintenance," $430,146.00 "
6640,ITT20210773,ITT,Federal Agency for Environmental Protection,Space planning and utilization optimization strategies.,3/12/2021,SafeHaven Maintenance," $600,976.00 "
6641,ITT20210774,ITT,Institute for Social Justice and Equality,Cleaning supplies and consumables procurement and management.,4/12/2021,InfiniteSpace Building Solutions," $162,140.00 "
6642,ITT20210775,ITT,Bureau of National Security and Intelligence,Health and safety compliance management and training.,4/12/2021,BlueBreeze Facility Solutions," $352,509.00 "
6643,ITT20210776,ITT,Institute for Social Justice and Equality,Renovation and remodeling project management.,4/12/2021,TrueView Management," $447,034.00 "
6644,ITT20210777,ITT,Department of Public Health and Disease Control,Pest control services for a pest-free environment.,6/12/2021,SafeHarbor Facilities Group," $292,620.00 "
6645,ITT20210778,ITT,Commission for Ethical Governance,Energy-efficient lighting installation and maintenance.,6/12/2021,SwiftGuard Management," $431,030.00 "
6646,ITT20210779,ITT,Institute for Social Justice and Equality,Renovation and remodeling project management.,7/12/2021,TruePro Building Experts," $205,527.00 "
6647,ITT20210780,ITT,Ministry of Strategic Economic Planning,Building automation and smart technology integration.,7/12/2021,GoldenReach Property Management," $244,588.00 "
6648,ITT20210781,ITT,Commission for Ethical Governance,Comprehensive janitorial services and cleanliness maintenance.,8/12/2021,InfiniteGuard Building Care," $361,174.00 "
6649,ITT20210782,ITT,National Cybersecurity Task Force,Parking management and traffic control solutions.,9/12/2021,GreenLine Building Experts," $128,418.00 "
6650,ITT20210783,ITT,Department of Advanced Technological Research,Cleaning supplies and consumables procurement and management.,9/12/2021,InfiniteSpace Building Solutions," $231,643.00 "
6651,ITT20210784,ITT,Institute for Social Justice and Equality,Building automation and smart technology integration.,12/12/2021,UrbanGuard Facilities," $354,768.00 "
6652,ITT20210785,ITT,Institute for Social Justice and Equality,Emergency response and disaster recovery planning.,12/12/2021,InfiniteGuard Building Care," $397,068.00 "
6653,ITT20210786,ITT,Ministry of Strategic Economic Planning,Health and safety compliance management and training.,12/12/2021,UrbanReach Facility Support," $431,411.00 "
6654,ITT20210787,ITT,Ministry of Strategic Economic Planning,24/7 security and access control management.,12/12/2021,BlueSail Property Experts," $523,438.00 "
6655,ITT20210788,ITT,Institute for Social Justice and Equality,Expert landscaping and groundskeeping solutions.,13/12/2021,FreshTech Management," $456,670.00 "
6656,ITT20210789,ITT,Commission for Ethical Governance,Energy-efficient lighting installation and maintenance.,13/12/2021,HighPoint Property Care," $471,155.00 "
6657,ITT20210790,ITT,Agency for Cultural Preservation and Heritage,Comprehensive janitorial services and cleanliness maintenance.,14/12/2021,SilverLine Facility Experts," $184,618.00 "
6658,ITT20210791,ITT,Commission for Ethical Governance,Furniture and equipment maintenance and inventory tracking.,14/12/2021,EverPro Property Support," $280,909.00 "
6659,ITT20210792,ITT,Department of Public Health and Disease Control,Waste management and recycling program implementation.,15/12/2021,TrueWave Facilities Management," $194,610.00 "
6660,ITT20210793,ITT,Institute for Social Justice and Equality,Parking management and traffic control solutions.,15/12/2021,SkyHigh Property Management," $210,839.00 "
6661,ITT20210794,ITT,National Institute of Scientific Advancement,Health and safety compliance management and training.,15/12/2021,GoldenHarbor Management," $284,810.00 "
6662,ITT20210795,ITT,Agency for Cultural Preservation and Heritage,Tenant communication and customer service assistance.,16/12/2021,SecurePrime Management," $332,112.00 "
6663,ITT20210796,ITT,Department of Advanced Technological Research,Building maintenance and repairs.,17/12/2021,UrbanTech Management," $241,313.00 "
6664,ITT20210797,ITT,Department of Advanced Technological Research,Furniture and equipment maintenance and inventory tracking.,17/12/2021,SwiftCrest Property Management," $305,650.00 "
6665,ITT20210798,ITT,Institute for Social Justice and Equality,Furniture and equipment maintenance and inventory tracking.,18/12/2021,InfinitePro Facility Care," $488,641.00 "
6666,ITT20210799,ITT,Agency for Cultural Preservation and Heritage,Building automation and smart technology integration.,19/12/2021,SkyQuest Facility Care," $116,006.00 "
6667,ITT20210800,ITT,Office of International Relations and Diplomatic Affairs,Pest control services for a pest-free environment.,19/12/2021,SwiftSail Building Solutions," $144,164.00 "
6668,ITT20210801,ITT,Federal Agency for Environmental Protection,Expert landscaping and groundskeeping solutions.,19/12/2021,HighTech Facilities Group," $280,154.00 "
6669,ITT20210802,ITT,National Cybersecurity Task Force,Renovation and remodeling project management.,20/12/2021,SafeHaven Maintenance," $309,748.00 "
6670,ITT20210803,ITT,Department of Energy Conservation and Sustainability,Energy-efficient lighting installation and maintenance.,20/12/2021,EverPrime Property Management," $346,284.00 "
6671,ITT20210804,ITT,Institute for Social Justice and Equality,HVAC system maintenance and climate control optimization.,20/12/2021,AlphaTech Facilities Management," $547,123.00 "
6672,ITT20210805,ITT,Commission for Ethical Governance,24/7 security and access control management.,20/12/2021,GreenPrime Facilities Group," $563,826.00 "
6673,ITT20210806,ITT,Agency for Cultural Preservation and Heritage,Energy-efficient lighting installation and maintenance.,21/12/2021,TruePro Building Experts," $521,901.00 "
6674,ITT20210807,ITT,Institute for Social Justice and Equality,Furniture and equipment maintenance and inventory tracking.,22/12/2021,HorizonHarbor Property Services," $102,417.00 "
6675,ITT20210808,ITT,Agency for Cultural Preservation and Heritage,Fire safety system installation and maintenance.,23/12/2021,GrandReach Facility Care," $110,107.00 "
6676,ITT20210809,ITT,Institute for Social Justice and Equality,Pest control services for a pest-free environment.,23/12/2021,TruePro Building Experts," $287,170.00 "
6677,ITT20210810,ITT,Ministry of Strategic Economic Planning,Pest control services for a pest-free environment.,23/12/2021,SafeReach Property Solutions," $506,073.00 "
6678,ITT20210811,ITT,Agency for Cultural Preservation and Heritage,Building maintenance and repairs.,23/12/2021,SecureTech Building Solutions," $546,174.00 "
6679,ITT20210812,ITT,Federal Agency for Environmental Protection,Energy-efficient systems and consumption monitoring.,24/12/2021,GrandView Facilities Group," $145,808.00 "
6680,ITT20210813,ITT,Institute for Social Justice and Equality,Cleaning supplies and consumables procurement and management.,24/12/2021,InfiniteSpace Building Solutions," $326,719.00 "
6681,ITT20210814,ITT,Office of International Relations and Diplomatic Affairs,Parking management and traffic control solutions.,24/12/2021,HorizonView Property Management," $444,591.00 "
6682,ITT20210815,ITT,Commission for Ethical Governance,Building automation and smart technology integration.,24/12/2021,ApexGuard Facility Services," $509,296.00 "
6683,ITT20210816,ITT,Department of Advanced Technological Research,Health and safety compliance management and training.,24/12/2021,BlueSail Property Experts," $612,118.00 "
6684,ITT20210817,ITT,Agency for Cultural Preservation and Heritage,Energy-efficient systems and consumption monitoring.,25/12/2021,SwiftTech Facility Solutions," $144,280.00 "
6685,ITT20210818,ITT,Commission for Ethical Governance,Expert landscaping and groundskeeping solutions.,25/12/2021,HorizonHarbor Property Services," $306,251.00 "
6686,ITT20210819,ITT,Institute for Social Justice and Equality,Furniture and equipment maintenance and inventory tracking.,26/12/2021,SkyHarbor Facility Experts," $369,412.00 "
6687,ITT20210820,ITT,Ministry of Strategic Economic Planning,Renovation and remodeling project management.,26/12/2021,SafeEdge Property Care," $386,590.00 "
6688,ITT20210821,ITT,Commission for Ethical Governance,HVAC system maintenance and climate control optimization.,26/12/2021,HorizonHarbor Property Services," $403,824.00 "
6689,ITT20210822,ITT,Federal Agency for Environmental Protection,Energy-efficient lighting installation and maintenance.,27/12/2021,AlphaCrest Property Support," $111,555.00 "
6690,ITT20210823,ITT,Agency for Cultural Preservation and Heritage,Building automation and smart technology integration.,27/12/2021,GreenLine Building Experts," $154,130.00 "
6691,ITT20210824,ITT,Institute for Social Justice and Equality,Energy-efficient systems and consumption monitoring.,29/12/2021,SafeTech Maintenance," $125,355.00 "
6692,ITT20210825,ITT,Institute for Social Justice and Equality,Health and safety compliance management and training.,29/12/2021,AlphaWave Property Solutions," $348,319.00 "
6693,ITT20210826,ITT,Agency for Cultural Preservation and Heritage,Pest control services for a pest-free environment.,29/12/2021,SwiftTech Facility Solutions," $394,247.00 "
6694,ITT20210827,ITT,Department of Advanced Technological Research,Space planning and utilization optimization strategies.,30/12/2021,GrandTech Building Solutions," $280,130.00 "
6695,ITT20210828,ITT,Office of International Relations and Diplomatic Affairs,Expert landscaping and groundskeeping solutions.,30/12/2021,BlueSky Property Care," $340,212.00 "
6696,ITT20210829,ITT,Office of Public Safety and Emergency Management,Renovation and remodeling project management.,31/12/2021,GoldenGate Facility Masters," $108,955.00 "
6697,ITT20210830,ITT,Institute for Social Justice and Equality,Emergency response and disaster recovery planning.,31/12/2021,InfiniteGuard Building Care," $261,162.00 "
6698,ITT20210831,ITT,Commission for Ethical Governance,Emergency response and disaster recovery planning.,31/12/2021,GreenWave Facilities Management," $462,429.00 "
6699,ITT20220001,ITT,Institute for Social Justice and Equality,Pest control services for a pest-free environment.,1/1/2022,VisionQuest Facility Care," $140,789.00 "
6700,ITT20220002,ITT,National Cybersecurity Task Force,Parking management and traffic control solutions.,1/1/2022,BlueSky Property Care," $220,560.00 "
6701,ITT20220003,ITT,Department of Advanced Technological Research,Tenant communication and customer service assistance.,1/1/2022,GreenPrime Facilities Group," $257,697.00 "
6702,ITT20220004,ITT,Commission for Ethical Governance,Health and safety compliance management and training.,1/1/2022,AlphaStone Property Support," $303,408.00 "
6703,ITT20220005,ITT,Federal Agency for Environmental Protection,Comprehensive janitorial services and cleanliness maintenance.,2/1/2022,StarTech Facility Solutions," $136,730.00 "
6704,ITT20220006,ITT,Commission for Ethical Governance,Space planning and utilization optimization strategies.,3/1/2022,AlphaPro Facility Solutions," $300,738.00 "
6705,ITT20220007,ITT,Department of Advanced Technological Research,Cleaning supplies and consumables procurement and management.,5/1/2022,InfiniteSpace Building Solutions," $258,883.00 "
6706,ITT20220008,ITT,Agency for Cultural Preservation and Heritage,Parking management and traffic control solutions.,5/1/2022,EverPro Property Support," $326,471.00 "
6707,ITT20220009,ITT,National Commission for Space Exploration,Fire safety system installation and maintenance.,5/1/2022,SecureSpace Management," $443,882.00 "
6708,ITT20220010,ITT,Department of Advanced Technological Research,HVAC system maintenance and climate control optimization.,6/1/2022,TrustEdge Building Maintenance," $245,763.00 "
6709,ITT20220011,ITT,Office of Public Safety and Emergency Management,Cleaning supplies and consumables procurement and management.,6/1/2022,TrustEdge Building Maintenance," $358,020.00 "
6710,ITT20220012,ITT,Department of Advanced Technological Research,Pest control services for a pest-free environment.,7/1/2022,GoldenGate Facility Masters," $409,539.00 "
6711,ITT20220013,ITT,Agency for Cultural Preservation and Heritage,Waste management and recycling program implementation.,8/1/2022,GreenWave Facilities Management," $230,413.00 "
6712,ITT20220014,ITT,Commission for Ethical Governance,Comprehensive janitorial services and cleanliness maintenance.,8/1/2022,SafeHarbor Facilities Group," $360,196.00 "
6713,ITT20220015,ITT,Agency for Cultural Preservation and Heritage,Cleaning supplies and consumables procurement and management.,8/1/2022,InfiniteSpace Building Solutions," $458,633.00 "
6714,ITT20220016,ITT,Ministry of Strategic Economic Planning,Building automation and smart technology integration.,8/1/2022,CleanStone Property Experts," $468,410.00 "
6715,ITT20220017,ITT,Department of Advanced Technological Research,Furniture and equipment maintenance and inventory tracking.,8/1/2022,EverPrime Property Management," $495,925.00 "
6716,ITT20220018,ITT,National Cybersecurity Task Force,Fire safety system installation and maintenance.,8/1/2022,SecurePrime Management," $586,868.00 "
6717,ITT20220019,ITT,Office of International Relations and Diplomatic Affairs,Energy-efficient lighting installation and maintenance.,9/1/2022,GoldenGate Facility Masters," $125,843.00 "
6718,ITT20220020,ITT,Institute for Social Justice and Equality,Fire safety system installation and maintenance.,11/1/2022,SwiftSail Building Solutions," $118,217.00 "
6719,ITT20220021,ITT,Ministry of Strategic Economic Planning,Pest control services for a pest-free environment.,11/1/2022,StarHarbor Facilities Group," $341,854.00 "
6720,ITT20220022,ITT,Ministry of Strategic Economic Planning,Comprehensive janitorial services and cleanliness maintenance.,11/1/2022,StarStone Facility Services," $356,113.00 "
6721,ITT20220023,ITT,National Commission for Space Exploration,Tenant communication and customer service assistance.,12/1/2022,SafeTech Maintenance," $227,996.00 "
6722,ITT20220024,ITT,Institute for Social Justice and Equality,Emergency response and disaster recovery planning.,12/1/2022,Reliable Facility Services," $378,829.00 "
6723,ITT20220025,ITT,Commission for Ethical Governance,Comprehensive janitorial services and cleanliness maintenance.,13/1/2022,BlueCrest Facility Support," $143,861.00 "
6724,ITT20220026,ITT,Institute for Social Justice and Equality,Fire safety system installation and maintenance.,13/1/2022,UrbanEagle Maintenance," $452,724.00 "
6725,ITT20220027,ITT,Department of Advanced Technological Research,Energy-efficient systems and consumption monitoring.,13/1/2022,AlphaPro Facility Solutions," $484,716.00 "
6726,ITT20220028,ITT,Office of Public Safety and Emergency Management,Emergency response and disaster recovery planning.,14/1/2022,GreenLine Building Experts," $104,665.00 "
6727,ITT20220029,ITT,Bureau of National Security and Intelligence,Waste management and recycling program implementation.,14/1/2022,TrustEdge Building Maintenance," $241,265.00 "
6728,ITT20220030,ITT,Department of Advanced Technological Research,Building maintenance and repairs.,14/1/2022,HorizonStone Facility Services," $407,632.00 "
6729,ITT20220031,ITT,Agency for Cultural Preservation and Heritage,24/7 security and access control management.,14/1/2022,Xtreme Maintenance," $555,298.00 "
6730,ITT20220032,ITT,Institute for Social Justice and Equality,Pest control services for a pest-free environment.,16/1/2022,SwiftSail Building Solutions," $194,083.00 "
6731,ITT20220033,ITT,Department of Advanced Technological Research,Emergency response and disaster recovery planning.,19/1/2022,CleanReach Facility Experts," $251,668.00 "
6732,ITT20220034,ITT,National Commission for Space Exploration,Emergency response and disaster recovery planning.,21/1/2022,SecureSpace Management," $156,200.00 "
6733,ITT20220035,ITT,Agency for Cultural Preservation and Heritage,Indoor air quality monitoring and improvement measures.,22/1/2022,TrueNorth Facility Solutions," $227,513.00 "
6734,ITT20220036,ITT,Commission for Ethical Governance,24/7 security and access control management.,22/1/2022,InfiniteSpace Building Solutions," $234,083.00 "
6735,ITT20220037,ITT,Ministry of Strategic Economic Planning,Energy-efficient lighting installation and maintenance.,24/1/2022,HighTech Facilities Group," $477,415.00 "
6736,ITT20220038,ITT,Institute for Social Justice and Equality,Health and safety compliance management and training.,25/1/2022,AlphaStone Property Support," $127,647.00 "
6737,ITT20220039,ITT,Bureau of Urban Development and Infrastructure,Indoor air quality monitoring and improvement measures.,25/1/2022,GoldenHarbor Management," $185,236.00 "
6738,ITT20220040,ITT,Ministry of Strategic Economic Planning,Health and safety compliance management and training.,26/1/2022,GreenCrest Facilities Group," $294,812.00 "
6739,ITT20220041,ITT,Agency for Cultural Preservation and Heritage,Pest control services for a pest-free environment.,29/1/2022,SilverLine Facility Experts," $116,702.00 "
6740,ITT20220042,ITT,National Institute of Scientific Advancement,Tenant communication and customer service assistance.,29/1/2022,SkyStone Property Solutions," $341,371.00 "
6741,ITT20220043,ITT,Commission for Ethical Governance,Fire safety system installation and maintenance.,29/1/2022,HighTech Facilities Group," $369,166.00 "
6742,ITT20220044,ITT,Federal Agency for Environmental Protection,Emergency response and disaster recovery planning.,30/1/2022,SilverTech Facilities Masters," $183,554.00 "
6743,ITT20220045,ITT,Bureau of National Security and Intelligence,Building automation and smart technology integration.,30/1/2022,EverReach Property Care," $217,860.00 "
6744,ITT20220046,ITT,National Cybersecurity Task Force,Health and safety compliance management and training.,31/1/2022,TruePro Building Experts," $158,815.00 "
6745,ITT20220047,ITT,Department of Advanced Technological Research,Energy-efficient lighting installation and maintenance.,31/1/2022,StarStone Facility Services," $217,626.00 "
6746,ITT20220048,ITT,Office of International Relations and Diplomatic Affairs,HVAC system maintenance and climate control optimization.,31/1/2022,TrueNorth Facility Solutions," $272,797.00 "
6747,ITT20220049,ITT,Commission for Ethical Governance,24/7 security and access control management.,31/1/2022,FreshEdge Facility Support," $357,035.00 "
6748,ITT20220050,ITT,Commission for Ethical Governance,Renovation and remodeling project management.,1/2/2022,GoldenTech Maintenance," $193,573.00 "
6749,ITT20220051,ITT,Institute for Social Justice and Equality,Health and safety compliance management and training.,2/2/2022,GrandPro Facilities Support," $213,912.00 "
6750,ITT20220052,ITT,Agency for Cultural Preservation and Heritage,Expert landscaping and groundskeeping solutions.,2/2/2022,AlphaWave Property Solutions," $271,508.00 "
6751,ITT20220053,ITT,Ministry of Strategic Economic Planning,Waste management and recycling program implementation.,2/2/2022,SecureTech Building Solutions," $325,140.00 "
6752,ITT20220054,ITT,Department of Advanced Technological Research,Expert landscaping and groundskeeping solutions.,3/2/2022,TrueNorth Facility Solutions," $122,342.00 "
6753,ITT20220055,ITT,Institute for Social Justice and Equality,Waste management and recycling program implementation.,3/2/2022,GreenLine Building Experts," $242,988.00 "
6754,ITT20220056,ITT,Commission for Ethical Governance,Indoor air quality monitoring and improvement measures.,3/2/2022,VisionQuest Facility Care," $373,206.00 "
6755,ITT20220057,ITT,Agency for Cultural Preservation and Heritage,Fire safety system installation and maintenance.,3/2/2022,UrbanTech Management," $395,762.00 "
6756,ITT20220058,ITT,Commission for Ethical Governance,Pest control services for a pest-free environment.,3/2/2022,GoldenStar Property Care," $487,229.00 "
6757,ITT20220059,ITT,Department of Public Health and Disease Control,Space planning and utilization optimization strategies.,4/2/2022,SwiftCrest Property Management," $123,272.00 "
6758,ITT20220060,ITT,Institute for Social Justice and Equality,Tenant communication and customer service assistance.,4/2/2022,InfiniteCare Property Services," $234,613.00 "
6759,ITT20220061,ITT,Commission for Ethical Governance,Emergency response and disaster recovery planning.,5/2/2022,SwiftCrest Property Management," $279,885.00 "
6760,ITT20220062,ITT,Agency for Cultural Preservation and Heritage,Pest control services for a pest-free environment.,6/2/2022,FreshWave Property Support," $192,653.00 "
6761,ITT20220063,ITT,Department of Advanced Technological Research,Building automation and smart technology integration.,8/2/2022,UrbanTech Management," $614,573.00 "
6762,ITT20220064,ITT,Commission for Ethical Governance,24/7 security and access control management.,9/2/2022,GreenEdge Facility Masters," $374,626.00 "
6763,ITT20220065,ITT,National Institute of Scientific Advancement,Comprehensive janitorial services and cleanliness maintenance.,9/2/2022,AlphaPro Facility Solutions," $414,114.00 "
6764,ITT20220066,ITT,Institute for Social Justice and Equality,Energy-efficient lighting installation and maintenance.,10/2/2022,UrbanTech Management," $247,830.00 "
6765,ITT20220067,ITT,Office of International Relations and Diplomatic Affairs,Fire safety system installation and maintenance.,11/2/2022,GoldenReach Property Management," $204,088.00 "
6766,ITT20220068,ITT,National Institute of Scientific Advancement,Energy-efficient lighting installation and maintenance.,11/2/2022,HorizonHarbor Property Services," $212,765.00 "
6767,ITT20220069,ITT,National Institute of Scientific Advancement,Emergency response and disaster recovery planning.,13/2/2022,GreenLine Building Experts," $212,629.00 "
6768,ITT20220070,ITT,Agency for Cultural Preservation and Heritage,HVAC system maintenance and climate control optimization.,13/2/2022,GoldenHarbor Management," $509,884.00 "
6769,ITT20220071,ITT,Department of Advanced Technological Research,HVAC system maintenance and climate control optimization.,15/2/2022,AlphaStone Property Support," $277,806.00 "
6770,ITT20220072,ITT,Institute for Social Justice and Equality,Waste management and recycling program implementation.,16/2/2022,SkyStone Property Solutions," $273,723.00 "
6771,ITT20220073,ITT,National Institute of Scientific Advancement,Energy-efficient lighting installation and maintenance.,16/2/2022,UrbanTech Management," $422,476.00 "
6772,ITT20220074,ITT,Office of International Relations and Diplomatic Affairs,Pest control services for a pest-free environment.,17/2/2022,HorizonHarbor Property Services," $104,066.00 "
6773,ITT20220075,ITT,Ministry of Strategic Economic Planning,Comprehensive janitorial services and cleanliness maintenance.,17/2/2022,AlphaStone Property Support," $188,517.00 "
6774,ITT20220076,ITT,Institute for Social Justice and Equality,Building maintenance and repairs.,18/2/2022,CleanStone Property Experts," $212,875.00 "
6775,ITT20220077,ITT,Agency for Cultural Preservation and Heritage,Parking management and traffic control solutions.,21/2/2022,CleanSweep Property Management," $169,849.00 "
6776,ITT20220078,ITT,National Institute of Scientific Advancement,Pest control services for a pest-free environment.,22/2/2022,InfiniteCare Property Services," $165,197.00 "
6777,ITT20220079,ITT,Bureau of National Security and Intelligence,Comprehensive janitorial services and cleanliness maintenance.,22/2/2022,HorizonView Property Management," $391,825.00 "
6778,ITT20220080,ITT,Institute for Social Justice and Equality,Health and safety compliance management and training.,23/2/2022,InfiniteGuard Building Care," $279,925.00 "
6779,ITT20220081,ITT,National Commission for Space Exploration,Parking management and traffic control solutions.,23/2/2022,SecureSpace Management," $410,575.00 "
6780,ITT20220082,ITT,Office of Public Safety and Emergency Management,Pest control services for a pest-free environment.,23/2/2022,SafeHarbor Facilities Group," $487,869.00 "
6781,ITT20220083,ITT,National Cybersecurity Task Force,Energy-efficient lighting installation and maintenance.,24/2/2022,HorizonView Property Management," $141,977.00 "
6782,ITT20220084,ITT,National Commission for Space Exploration,Pest control services for a pest-free environment.,25/2/2022,GrandPro Facilities Support," $156,540.00 "
6783,ITT20220085,ITT,Ministry of Strategic Economic Planning,24/7 security and access control management.,25/2/2022,TrueView Management," $262,920.00 "
6784,ITT20220086,ITT,National Institute of Scientific Advancement,Renovation and remodeling project management.,25/2/2022,Xtreme Maintenance," $525,362.00 "
6785,ITT20220087,ITT,Bureau of Urban Development and Infrastructure,Pest control services for a pest-free environment.,27/2/2022,StarStone Facility Services," $195,426.00 "
6786,ITT20220088,ITT,Institute for Social Justice and Equality,Furniture and equipment maintenance and inventory tracking.,27/2/2022,InfiniteTech Building Solutions," $549,217.00 "
6787,ITT20220089,ITT,Department of Advanced Technological Research,Pest control services for a pest-free environment.,28/2/2022,HighWave Building Solutions," $313,573.00 "
6788,ITT20220090,ITT,Office of International Relations and Diplomatic Affairs,Comprehensive janitorial services and cleanliness maintenance.,1/3/2022,HorizonStone Facility Services," $272,322.00 "
6789,ITT20220091,ITT,National Institute of Scientific Advancement,Cleaning supplies and consumables procurement and management.,1/3/2022,HighTech Facilities Group," $475,850.00 "
6790,ITT20220092,ITT,Institute for Social Justice and Equality,Space planning and utilization optimization strategies.,2/3/2022,GrandReach Facility Care," $379,819.00 "
6791,ITT20220093,ITT,Department of Energy Conservation and Sustainability,Furniture and equipment maintenance and inventory tracking.,2/3/2022,UrbanReach Facility Support," $383,637.00 "
6792,ITT20220094,ITT,Institute for Social Justice and Equality,Furniture and equipment maintenance and inventory tracking.,3/3/2022,ApexGuard Facility Services," $224,925.00 "
6793,ITT20220095,ITT,Commission for Ethical Governance,Building automation and smart technology integration.,3/3/2022,SafeEdge Property Care," $230,180.00 "
6794,ITT20220096,ITT,Department of Public Health and Disease Control,Comprehensive janitorial services and cleanliness maintenance.,3/3/2022,BlueSky Property Care," $360,370.00 "
6795,ITT20220097,ITT,Office of International Relations and Diplomatic Affairs,Pest control services for a pest-free environment.,3/3/2022,GoldenStar Property Care," $462,074.00 "
