S/N,Procurement Code,Procurement Type,Agency,Procurement Description,Date,Supplier,Awarded Amount
6424,ITT20210557,ITT,Office of International Relations and Diplomatic Affairs,Indoor air quality monitoring and improvement measures.,2021-09-01,EverGreen Property Support,238613
6425,ITT20210558,ITT,Department of Advanced Technological Research,Comprehensive janitorial services and cleanliness maintenance.,2021-09-01,SafeHarbor Facilities Group,267577
6426,ITT20210559,ITT,Department of Advanced Technological Research,Waste management and recycling program implementation.,2021-09-01,BlueCrest Facility Support,430527
6427,ITT20210560,ITT,Commission for Ethical Governance,Health and safety compliance management and training.,2021-09-03,GreenWave Facilities Management,129860
6428,ITT20210561,ITT,Ministry of Strategic Economic Planning,Furniture and equipment maintenance and inventory tracking.,2021-09-03,GrandView Facilities Group,266017
6429,ITT20210562,ITT,Commission for Ethical Governance,Energy-efficient lighting installation and maintenance.,2021-09-03,SafeReach Property Solutions,270666
6430,ITT20210563,ITT,Commission for Ethical Governance,Comprehensive janitorial services and cleanliness maintenance.,2021-09-04,SwiftReach Building Maintenance,549198
6431,ITT20210564,ITT,Agency for Cultural Preservation and Heritage,Comprehensive janitorial services and cleanliness maintenance.,2021-09-05,SafeHarbor Facilities Group,110913
6432,ITT20210565,ITT,Institute for Social Justice and Equality,Health and safety compliance management and training.,2021-09-05,HighTech Facilities Group,115062
6433,ITT20210566,ITT,Commission for Ethical Governance,Energy-efficient lighting installation and maintenance.,2021-09-05,EliteCare Facility Support,343907
6434,ITT20210567,ITT,Federal Agency for Environmental Protection,Waste management and recycling program implementation.,2021-09-06,GoldenGate Facility Masters,277544
6435,ITT20210568,ITT,Institute for Social Justice and Equality,Building maintenance and repairs.,2021-09-06,TrueView Management,433363
6436,ITT20210569,ITT,Commission for Ethical Governance,Comprehensive janitorial services and cleanliness maintenance.,2021-09-07,SecureReach Property Care,164656
6437,ITT20210570,ITT,Institute for Social Justice and Equality,Building maintenance and repairs.,2021-09-07,TrustPro Building Maintenance,243286
6438,ITT20210571,ITT,Office of International Relations and Diplomatic Affairs,Furniture and equipment maintenance and inventory tracking.,2021-09-07,TrustPro Building Maintenance,498805
6439,ITT20210572,ITT,Office of International Relations and Diplomatic Affairs,Fire safety system installation and maintenance.,2021-09-08,SkyQuest Facility Care,124023
6440,ITT20210573,ITT,Ministry of Strategic Economic Planning,Waste management and recycling program implementation.,2021-09-08,GreenCrest Facilities Group,126923
6441,ITT20210574,ITT,Department of Advanced Technological Research,24/7 security and access control management.,2021-09-08,SafeHaven Maintenance,237757
6442,ITT20210575,ITT,Commission for Ethical Governance,Building automation and smart technology integration.,2021-09-08,TrueView Management,426490
6443,ITT20210576,ITT,Institute for Social Justice and Equality,Fire safety system installation and maintenance.,2021-09-09,SecurePrime Management,181279
6444,ITT20210577,ITT,Department of Advanced Technological Research,Energy-efficient lighting installation and maintenance.,2021-09-10,UrbanGuard Facilities,306925
6445,ITT20210578,ITT,Office of International Relations and Diplomatic Affairs,Emergency response and disaster recovery planning.,2021-09-10,Xtreme Maintenance,320628
6446,ITT20210579,ITT,Office of International Relations and Diplomatic Affairs,Expert landscaping and groundskeeping solutions.,2021-09-11,GreenLine Building Experts,275797
6447,ITT20210580,ITT,Federal Agency for Environmental Protection,Waste management and recycling program implementation.,2021-09-12,BlueCrest Facility Support,108307
6448,ITT20210581,ITT,Federal Agency for Environmental Protection,Comprehensive janitorial services and cleanliness maintenance.,2021-09-12,HorizonPro Facility Management,570395
6449,ITT20210582,ITT,Bureau of National Security and Intelligence,Furniture and equipment maintenance and inventory tracking.,2021-09-13,TrustEdge Building Maintenance,219382
6450,ITT20210583,ITT,Institute for Social Justice and Equality,Energy-efficient lighting installation and maintenance.,2021-09-13,EverGreen Property Support,259732
6451,ITT20210584,ITT,Institute for Social Justice and Equality,Pest control services for a pest-free environment.,2021-09-13,UnitedPro Property Services,449965
6452,ITT20210585,ITT,Ministry of Strategic Economic Planning,Emergency response and disaster recovery planning.,2021-09-14,GreenLine Building Experts,142023
6453,ITT20210586,ITT,Office of International Relations and Diplomatic Affairs,Tenant communication and customer service assistance.,2021-09-14,InfiniteGuard Building Care,350381
6454,ITT20210587,ITT,National Institute of Scientific Advancement,HVAC system maintenance and climate control optimization.,2021-09-14,ApexGuard Facility Services,450993
6455,ITT20210588,ITT,Agency for Cultural Preservation and Heritage,Energy-efficient systems and consumption monitoring.,2021-09-15,GreenWave Facilities Management,351436
6456,ITT20210589,ITT,Institute for Social Justice and Equality,Cleaning supplies and consumables procurement and management.,2021-09-15,InfiniteSpace Building Solutions,385896
6457,ITT20210590,ITT,Federal Agency for Environmental Protection,Space planning and utilization optimization strategies.,2021-09-15,AlphaStone Property Support,421197
6458,ITT20210591,ITT,Commission for Ethical Governance,Indoor air quality monitoring and improvement measures.,2021-09-16,SilverReach Facility Services,179857
6459,ITT20210592,ITT,Office of Public Safety and Emergency Management,Space planning and utilization optimization strategies.,2021-09-16,TrustMax Facilities Masters,414439
6460,ITT20210593,ITT,Commission for Ethical Governance,Parking management and traffic control solutions.,2021-09-16,InfiniteTech Building Solutions,465049
6461,ITT20210594,ITT,Commission for Ethical Governance,Comprehensive janitorial services and cleanliness maintenance.,2021-09-17,StarCrest Facility Services,240323
6462,ITT20210595,ITT,National Institute of Scientific Advancement,Waste management and recycling program implementation.,2021-09-17,TrueWave Facilities Management,334416
6463,ITT20210596,ITT,Agency for Cultural Preservation and Heritage,Space planning and utilization optimization strategies.,2021-09-17,TrustEdge Building Maintenance,400619
6464,ITT20210597,ITT,Ministry of Strategic Economic Planning,Waste management and recycling program implementation.,2021-09-17,CleanStone Property Experts,426002
6465,ITT20210598,ITT,Institute for Social Justice and Equality,Furniture and equipment maintenance and inventory tracking.,2021-09-17,GoldenGate Facility Masters,454306
6466,ITT20210599,ITT,Office of International Relations and Diplomatic Affairs,Indoor air quality monitoring and improvement measures.,2021-09-18,CleanReach Facility Experts,326661
6467,ITT20210600,ITT,Institute for Social Justice and Equality,Cleaning supplies and consumables procurement and management.,2021-09-18,InfiniteSpace Building Solutions,367262
6468,ITT20210601,ITT,Ministry of Strategic Economic Planning,Renovation and remodeling project management.,2021-09-19,HighTech Facilities Group,140195
6469,ITT20210602,ITT,Commission for Ethical Governance,HVAC system maintenance and climate control optimization.,2021-09-19,InfiniteSpace Building Solutions,320827
6470,ITT20210603,ITT,National Commission for Space Exploration,Fire safety system installation and maintenance.,2021-09-19,SecureSpace Management,358829
6471,ITT20210604,ITT,National Commission for Space Exploration,Energy-efficient lighting installation and maintenance.,2021-09-19,SecureSpace Management,366004
6472,ITT20210605,ITT,Bureau of Urban Development and Infrastructure,Health and safety compliance management and training.,2021-09-19,GreenEdge Facility Masters,1415452
6473,ITT20210606,ITT,Office of International Relations and Diplomatic Affairs,24/7 security and access control management.,2021-09-20,GreenCrest Facilities Group,299493
6474,ITT20210607,ITT,Department of Advanced Technological Research,Pest control services for a pest-free environment.,2021-09-21,HighPoint Property Care,236239
6475,ITT20210608,ITT,Institute for Social Justice and Equality,Waste management and recycling program implementation.,2021-09-21,Reliable Facility Services,363947
6476,ITT20210609,ITT,Agency for Cultural Preservation and Heritage,24/7 security and access control management.,2021-09-21,TrueNorth Facility Solutions,387082
6477,ITT20210610,ITT,Federal Agency for Environmental Protection,Pest control services for a pest-free environment.,2021-09-22,BlueSky Property Care,319084
6478,ITT20210611,ITT,Office of International Relations and Diplomatic Affairs,Comprehensive janitorial services and cleanliness maintenance.,2021-09-22,FreshWave Property Support,390823
6479,ITT20210612,ITT,National Cybersecurity Task Force,Fire safety system installation and maintenance.,2021-09-23,BlueReach Property Solutions,168371
6480,ITT20210613,ITT,Commission for Ethical Governance,Cleaning supplies and consumables procurement and management.,2021-09-23,InfiniteSpace Building Solutions,198275
6481,ITT20210614,ITT,Federal Agency for Environmental Protection,Parking management and traffic control solutions.,2021-09-23,GreenEdge Facility Masters,324872
6482,ITT20210615,ITT,Commission for Ethical Governance,24/7 security and access control management.,2021-09-23,SafeReach Property Solutions,379366
6483,ITT20210616,ITT,Bureau of Urban Development and Infrastructure,Comprehensive janitorial services and cleanliness maintenance.,2021-09-24,SafeReach Property Solutions,215601
6484,ITT20210617,ITT,Institute for Social Justice and Equality,Energy-efficient lighting installation and maintenance.,2021-09-24,InfiniteGuard Building Care,422314
6485,ITT20210618,ITT,Commission for Ethical Governance,Building automation and smart technology integration.,2021-09-25,GrandReach Facility Care,386441
6486,ITT20210619,ITT,Department of Advanced Technological Research,Waste management and recycling program implementation.,2021-09-26,InfiniteGuard Building Care,216903
6487,ITT20210620,ITT,Institute for Social Justice and Equality,Parking management and traffic control solutions.,2021-09-26,TrustMax Facilities Masters,522668
6488,ITT20210621,ITT,Institute for Social Justice and Equality,Waste management and recycling program implementation.,2021-09-27,SafeReach Property Solutions,280900
6489,ITT20210622,ITT,Institute for Social Justice and Equality,Building maintenance and repairs.,2021-09-27,CleanReach Facility Experts,452077
6490,ITT20210623,ITT,Department of Advanced Technological Research,Expert landscaping and groundskeeping solutions.,2021-09-28,UrbanEagle Maintenance,185368
6491,ITT20210624,ITT,Commission for Ethical Governance,Expert landscaping and groundskeeping solutions.,2021-09-28,UrbanTech Management,346721
6492,ITT20210625,ITT,Institute for Social Justice and Equality,Building maintenance and repairs.,2021-09-29,HorizonHarbor Property Services,134307
6493,ITT20210626,ITT,National Institute of Scientific Advancement,24/7 security and access control management.,2021-09-29,SafeReach Property Solutions,446792
6494,ITT20210627,ITT,Department of Advanced Technological Research,Comprehensive janitorial services and cleanliness maintenance.,2021-09-30,InfiniteCare Property Services,237794
6495,ITT20210628,ITT,Commission for Ethical Governance,Parking management and traffic control solutions.,2021-09-30,FreshWave Property Support,392347
6496,ITT20210629,ITT,Department of Advanced Technological Research,Comprehensive janitorial services and cleanliness maintenance.,2021-10-01,SilverTech Facilities Masters,257292
6497,ITT20210630,ITT,Institute for Social Justice and Equality,Emergency response and disaster recovery planning.,2021-10-02,SkyQuest Facility Care,179422
6498,ITT20210631,ITT,Agency for Cultural Preservation and Heritage,Pest control services for a pest-free environment.,2021-10-02,SwiftTech Facility Solutions,261693
6499,ITT20210632,ITT,Agency for Cultural Preservation and Heritage,Energy-efficient systems and consumption monitoring.,2021-10-02,HorizonPro Facility Management,289725
6500,ITT20210633,ITT,Ministry of Strategic Economic Planning,Tenant communication and customer service assistance.,2021-10-03,SilverLine Facility Experts,177782
6501,ITT20210634,ITT,Ministry of Strategic Economic Planning,Indoor air quality monitoring and improvement measures.,2021-10-03,UrbanTech Management,306280
6502,ITT20210635,ITT,Department of Advanced Technological Research,Waste management and recycling program implementation.,2021-10-04,AlphaCrest Property Support,169339
6503,ITT20210636,ITT,Commission for Ethical Governance,Tenant communication and customer service assistance.,2021-10-04,SilverReach Facility Services,283299
6504,ITT20210637,ITT,Department of Advanced Technological Research,Health and safety compliance management and training.,2021-10-04,HorizonStone Facility Services,407451
6505,ITT20210638,ITT,National Institute of Scientific Advancement,Emergency response and disaster recovery planning.,2021-10-05,InfiniteGuard Building Care,351838
6506,ITT20210639,ITT,Office of Public Safety and Emergency Management,Tenant communication and customer service assistance.,2021-10-05,GreenCrest Facilities Group,571970
6507,ITT20210640,ITT,Institute for Social Justice and Equality,Cleaning supplies and consumables procurement and management.,2021-10-07,InfiniteSpace Building Solutions,466832
6508,ITT20210641,ITT,Department of Advanced Technological Research,Parking management and traffic control solutions.,2021-10-08,SwiftGuard Management,137699
6509,ITT20210642,ITT,Federal Agency for Environmental Protection,Emergency response and disaster recovery planning.,2021-10-08,BlueReach Property Solutions,334246
6510,ITT20210643,ITT,Commission for Ethical Governance,Indoor air quality monitoring and improvement measures.,2021-10-08,EliteTech Property Support,398188
6511,ITT20210644,ITT,National Institute of Scientific Advancement,Indoor air quality monitoring and improvement measures.,2021-10-08,UrbanEagle Maintenance,480125
6512,ITT20210645,ITT,Ministry of Strategic Economic Planning,Expert landscaping and groundskeeping solutions.,2021-10-09,AlphaTech Facilities Management,254741
6513,ITT20210646,ITT,Office of International Relations and Diplomatic Affairs,Pest control services for a pest-free environment.,2021-10-09,BlueCrest Facility Support,422386
6514,ITT20210647,ITT,Department of Advanced Technological Research,Tenant communication and customer service assistance.,2021-10-10,GoldenGate Facility Masters,200561
6515,ITT20210648,ITT,Bureau of National Security and Intelligence,Pest control services for a pest-free environment.,2021-10-10,BlueReach Property Solutions,396146
6516,ITT20210649,ITT,Office of International Relations and Diplomatic Affairs,Pest control services for a pest-free environment.,2021-10-11,GoldenStar Property Care,294385
6517,ITT20210650,ITT,Ministry of Strategic Economic Planning,Indoor air quality monitoring and improvement measures.,2021-10-11,FreshTech Management,547289
6518,ITT20210651,ITT,Institute for Social Justice and Equality,24/7 security and access control management.,2021-10-12,SecureReach Property Care,283260
6519,ITT20210652,ITT,Institute for Social Justice and Equality,Furniture and equipment maintenance and inventory tracking.,2021-10-13,UrbanTech Management,315431
6520,ITT20210653,ITT,Federal Agency for Environmental Protection,HVAC system maintenance and climate control optimization.,2021-10-13,AlphaPro Facility Solutions,378577
6521,ITT20210654,ITT,Department of Advanced Technological Research,Comprehensive janitorial services and cleanliness maintenance.,2021-10-13,Reliable Facility Services,472008
6522,ITT20210655,ITT,Office of International Relations and Diplomatic Affairs,Building automation and smart technology integration.,2021-10-14,SkyStone Property Solutions,216431
6523,ITT20210656,ITT,National Cybersecurity Task Force,Energy-efficient systems and consumption monitoring.,2021-10-14,SafeReach Property Solutions,269734
6524,ITT20210657,ITT,Federal Agency for Environmental Protection,Building maintenance and repairs.,2021-10-15,BlueCrest Facility Support,122242
6525,ITT20210658,ITT,Office of International Relations and Diplomatic Affairs,Building maintenance and repairs.,2021-10-15,InfiniteGuard Building Care,391026
6526,ITT20210659,ITT,Institute for Social Justice and Equality,Fire safety system installation and maintenance.,2021-10-16,SkyHigh Property Management,109006
6527,ITT20210660,ITT,Agency for Cultural Preservation and Heritage,Building automation and smart technology integration.,2021-10-17,Xtreme Maintenance,347419
6528,ITT20210661,ITT,Office of Public Safety and Emergency Management,Building maintenance and repairs.,2021-10-18,GoldenGate Facility Masters,101520
6529,ITT20210662,ITT,Department of Energy Conservation and Sustainability,HVAC system maintenance and climate control optimization.,2021-10-18,CleanStone Property Experts,264256
6530,ITT20210663,ITT,Institute for Social Justice and Equality,Waste management and recycling program implementation.,2021-10-18,GrandPro Facilities Support,273771
6531,ITT20210664,ITT,Office of International Relations and Diplomatic Affairs,Renovation and remodeling project management.,2021-10-19,SkyStone Property Solutions,173113
6532,ITT20210665,ITT,Commission for Ethical Governance,HVAC system maintenance and climate control optimization.,2021-10-19,AlphaWave Property Solutions,186470
6533,ITT20210666,ITT,Agency for Cultural Preservation and Heritage,Tenant communication and customer service assistance.,2021-10-19,GrandReach Facility Care,244391
6534,ITT20210667,ITT,Commission for Ethical Governance,24/7 security and access control management.,2021-10-19,HorizonView Property Management,282184
6535,ITT20210668,ITT,Office of International Relations and Diplomatic Affairs,Furniture and equipment maintenance and inventory tracking.,2021-10-19,SafeEdge Property Care,284821
6536,ITT20210669,ITT,Federal Agency for Environmental Protection,24/7 security and access control management.,2021-10-21,Reliable Facility Services,257216
6537,ITT20210670,ITT,Institute for Social Justice and Equality,Space planning and utilization optimization strategies.,2021-10-22,SkyQuest Facility Care,105872
6538,ITT20210671,ITT,Agency for Cultural Preservation and Heritage,Fire safety system installation and maintenance.,2021-10-23,HorizonStone Facility Services,319935
6539,ITT20210672,ITT,Institute for Social Justice and Equality,Building maintenance and repairs.,2021-10-24,InfiniteGuard Building Care,173438
6540,ITT20210673,ITT,Department of Energy Conservation and Sustainability,Pest control services for a pest-free environment.,2021-10-24,SilverLine Facility Experts,192276
6541,ITT20210674,ITT,National Cybersecurity Task Force,Cleaning supplies and consumables procurement and management.,2021-10-24,SafeEdge Property Care,432940
6542,ITT20210675,ITT,Ministry of Strategic Economic Planning,Energy-efficient systems and consumption monitoring.,2021-10-27,InfiniteCare Property Services,119931
6543,ITT20210676,ITT,Department of Energy Conservation and Sustainability,Comprehensive janitorial services and cleanliness maintenance.,2021-10-27,BlueBreeze Facility Solutions,127765
6544,ITT20210677,ITT,Bureau of Urban Development and Infrastructure,HVAC system maintenance and climate control optimization.,2021-10-27,StarTech Facility Solutions,136225
6545,ITT20210678,ITT,Federal Agency for Environmental Protection,Tenant communication and customer service assistance.,2021-10-27,TrustMax Facilities Masters,140498
6546,ITT20210679,ITT,Bureau of National Security and Intelligence,Renovation and remodeling project management.,2021-10-27,SafeReach Property Solutions,212975
6547,ITT20210680,ITT,Ministry of Strategic Economic Planning,Furniture and equipment maintenance and inventory tracking.,2021-10-27,GreenLine Building Experts,418696
6548,ITT20210681,ITT,Department of Advanced Technological Research,Space planning and utilization optimization strategies.,2021-10-28,FreshWave Property Support,350483
6549,ITT20210682,ITT,National Commission for Space Exploration,Energy-efficient lighting installation and maintenance.,2021-10-28,SecureSpace Management,556589
6550,ITT20210683,ITT,Institute for Social Justice and Equality,Tenant communication and customer service assistance.,2021-10-29,AlphaStone Property Support,106446
6551,ITT20210684,ITT,Office of International Relations and Diplomatic Affairs,Renovation and remodeling project management.,2021-10-29,FreshEdge Facility Support,202976
6552,ITT20210685,ITT,National Institute of Scientific Advancement,Expert landscaping and groundskeeping solutions.,2021-10-29,SafeTech Maintenance,232168
6553,ITT20210686,ITT,Office of International Relations and Diplomatic Affairs,Health and safety compliance management and training.,2021-10-29,TrustMax Facilities Masters,426733
6554,ITT20210687,ITT,National Commission for Space Exploration,Pest control services for a pest-free environment.,2021-10-29,Reliable Facility Services,531573
6555,ITT20210688,ITT,Office of Public Safety and Emergency Management,24/7 security and access control management.,2021-10-30,TrustEdge Building Maintenance,111333
6556,ITT20210689,ITT,Bureau of National Security and Intelligence,Space planning and utilization optimization strategies.,2021-10-30,Reliable Facility Services,156412
6557,ITT20210690,ITT,Ministry of Strategic Economic Planning,Pest control services for a pest-free environment.,2021-10-30,CleanStone Property Experts,253030
6558,ITT20210691,ITT,Department of Advanced Technological Research,Pest control services for a pest-free environment.,2021-10-31,Reliable Facility Services,165302
6559,ITT20210692,ITT,Department of Advanced Technological Research,Energy-efficient systems and consumption monitoring.,2021-10-31,AlphaWave Property Solutions,360579
6560,ITT20210693,ITT,Bureau of National Security and Intelligence,Energy-efficient systems and consumption monitoring.,2021-10-31,AlphaStone Property Support,381934
6561,ITT20210694,ITT,National Institute of Scientific Advancement,Building automation and smart technology integration.,2021-11-01,SkyHigh Property Management,482304
6562,ITT20210695,ITT,Ministry of Strategic Economic Planning,Fire safety system installation and maintenance.,2021-11-01,SwiftSail Building Solutions,512288
6563,ITT20210696,ITT,Commission for Ethical Governance,Energy-efficient lighting installation and maintenance.,2021-11-02,TrueView Management,101436
6564,ITT20210697,ITT,Institute for Social Justice and Equality,HVAC system maintenance and climate control optimization.,2021-11-02,MaxPro Building Services,196676
6565,ITT20210698,ITT,Institute for Social Justice and Equality,Waste management and recycling program implementation.,2021-11-02,StarHarbor Facilities Group,213829
6566,ITT20210699,ITT,Agency for Cultural Preservation and Heritage,Space planning and utilization optimization strategies.,2021-11-02,SwiftTech Facility Solutions,284758
6567,ITT20210700,ITT,Office of International Relations and Diplomatic Affairs,Building automation and smart technology integration.,2021-11-02,SafeReach Property Solutions,469923
6568,ITT20210701,ITT,Bureau of Urban Development and Infrastructure,Waste management and recycling program implementation.,2021-11-03,SilverReach Facility Services,212392
6569,ITT20210702,ITT,Office of Public Safety and Emergency Management,Health and safety compliance management and training.,2021-11-03,SecureReach Property Care,224347
6570,ITT20210703,ITT,Commission for Ethical Governance,Tenant communication and customer service assistance.,2021-11-03,GrandEdge Property Solutions,236062
6571,ITT20210704,ITT,National Commission for Space Exploration,Building automation and smart technology integration.,2021-11-03,SecureSpace Management,238360
6572,ITT20210705,ITT,Commission for Ethical Governance,HVAC system maintenance and climate control optimization.,2021-11-03,AlphaTech Facilities Management,273265
6573,ITT20210706,ITT,National Cybersecurity Task Force,Parking management and traffic control solutions.,2021-11-04,GrandPro Facilities Support,161423
6574,ITT20210707,ITT,Commission for Ethical Governance,Renovation and remodeling project management.,2021-11-04,InfiniteGuard Building Care,559017
6575,ITT20210708,ITT,National Cybersecurity Task Force,Space planning and utilization optimization strategies.,2021-11-05,AlphaTech Facilities Management,260338
6576,ITT20210709,ITT,Office of International Relations and Diplomatic Affairs,Pest control services for a pest-free environment.,2021-11-05,AlphaPro Facility Solutions,572356
6577,ITT20210710,ITT,Commission for Ethical Governance,Health and safety compliance management and training.,2021-11-07,EverPro Property Support,233519
6578,ITT20210711,ITT,National Institute of Scientific Advancement,Pest control services for a pest-free environment.,2021-11-07,AlphaCrest Property Support,235796
6579,ITT20210712,ITT,Ministry of Strategic Economic Planning,Indoor air quality monitoring and improvement measures.,2021-11-07,StarCrest Facility Services,290971
6580,ITT20210713,ITT,Agency for Cultural Preservation and Heritage,Pest control services for a pest-free environment.,2021-11-08,ApexGuard Facility Services,120877
6581,ITT20210714,ITT,Commission for Ethical Governance,Indoor air quality monitoring and improvement measures.,2021-11-08,CleanSweep Property Management,311479
6582,ITT20210715,ITT,Institute for Social Justice and Equality,Energy-efficient lighting installation and maintenance.,2021-11-08,InfiniteGuard Building Care,410415
6583,ITT20210716,ITT,National Cybersecurity Task Force,Waste management and recycling program implementation.,2021-11-10,SwiftGuard Management,150349
6584,ITT20210717,ITT,Institute for Social Justice and Equality,Waste management and recycling program implementation.,2021-11-10,GrandPro Facilities Support,204894
6585,ITT20210718,ITT,Institute for Social Justice and Equality,Parking management and traffic control solutions.,2021-11-10,SafeHarbor Facilities Group,612833
6586,ITT20210719,ITT,Office of International Relations and Diplomatic Affairs,Parking management and traffic control solutions.,2021-11-11,HorizonHarbor Property Services,391883
6587,ITT20210720,ITT,Bureau of National Security and Intelligence,Parking management and traffic control solutions.,2021-11-12,FreshStart Building Solutions,313040
6588,ITT20210721,ITT,Commission for Ethical Governance,Indoor air quality monitoring and improvement measures.,2021-11-14,InfiniteGuard Building Care,136749
6589,ITT20210722,ITT,National Institute of Scientific Advancement,Health and safety compliance management and training.,2021-11-14,UrbanEagle Maintenance,209945
6590,ITT20210723,ITT,Commission for Ethical Governance,Building maintenance and repairs.,2021-11-14,CleanHarbor Facility Care,366022
6591,ITT20210724,ITT,Department of Advanced Technological Research,Pest control services for a pest-free environment.,2021-11-14,SkyStone Property Solutions,419805
6592,ITT20210725,ITT,Commission for Ethical Governance,Pest control services for a pest-free environment.,2021-11-15,InfiniteCare Property Services,140026
6593,ITT20210726,ITT,Office of Public Safety and Emergency Management,Tenant communication and customer service assistance.,2021-11-15,SwiftReach Building Maintenance,215939
6594,ITT20210727,ITT,Commission for Ethical Governance,Emergency response and disaster recovery planning.,2021-11-15,InfiniteGuard Building Care,249151
6595,ITT20210728,ITT,Ministry of Strategic Economic Planning,Cleaning supplies and consumables procurement and management.,2021-11-15,InfiniteSpace Building Solutions,405235
6596,ITT20210729,ITT,Ministry of Strategic Economic Planning,Waste management and recycling program implementation.,2021-11-16,SkyStone Property Solutions,111401
6597,ITT20210730,ITT,Federal Agency for Environmental Protection,Parking management and traffic control solutions.,2021-11-16,GreenCrest Facilities Group,132377
6598,ITT20210731,ITT,Commission for Ethical Governance,Energy-efficient systems and consumption monitoring.,2021-11-16,AlphaCrest Property Support,306455
6599,ITT20210732,ITT,Commission for Ethical Governance,Emergency response and disaster recovery planning.,2021-11-16,BlueCrest Facility Support,338881
6600,ITT20210733,ITT,Agency for Cultural Preservation and Heritage,Waste management and recycling program implementation.,2021-11-17,EverPrime Property Management,169867
6601,ITT20210734,ITT,Institute for Social Justice and Equality,Emergency response and disaster recovery planning.,2021-11-17,HighWave Building Solutions,252374
6602,ITT20210735,ITT,Institute for Social Justice and Equality,Energy-efficient lighting installation and maintenance.,2021-11-17,EverReach Property Care,325057
6603,ITT20210736,ITT,Commission for Ethical Governance,Pest control services for a pest-free environment.,2021-11-17,SecureTech Building Solutions,428162
6604,ITT20210737,ITT,Institute for Social Justice and Equality,Energy-efficient lighting installation and maintenance.,2021-11-17,SilverTech Facilities Masters,502925
6605,ITT20210738,ITT,Department of Public Health and Disease Control,Building maintenance and repairs.,2021-11-18,TruePro Building Experts,371979
6606,ITT20210739,ITT,Commission for Ethical Governance,Expert landscaping and groundskeeping solutions.,2021-11-18,SwiftCrest Property Management,377282
6607,ITT20210740,ITT,National Institute of Scientific Advancement,Energy-efficient lighting installation and maintenance.,2021-11-18,UrbanTech Management,402772
6608,ITT20210741,ITT,Agency for Cultural Preservation and Heritage,Furniture and equipment maintenance and inventory tracking.,2021-11-19,BlueReach Property Solutions,308011
6609,ITT20210742,ITT,National Institute of Scientific Advancement,Energy-efficient lighting installation and maintenance.,2021-11-19,AlphaTech Facilities Management,385589
6610,ITT20210743,ITT,Office of International Relations and Diplomatic Affairs,Comprehensive janitorial services and cleanliness maintenance.,2021-11-19,FreshEdge Facility Support,419331
6611,ITT20210744,ITT,Department of Advanced Technological Research,Energy-efficient lighting installation and maintenance.,2021-11-19,BlueSail Property Experts,468586
6612,ITT20210745,ITT,Office of International Relations and Diplomatic Affairs,Emergency response and disaster recovery planning.,2021-11-20,StarStone Facility Services,253037
6613,ITT20210746,ITT,National Institute of Scientific Advancement,Waste management and recycling program implementation.,2021-11-20,AlphaTech Facilities Management,279333
6614,ITT20210747,ITT,Bureau of National Security and Intelligence,Indoor air quality monitoring and improvement measures.,2021-11-21,TrueView Management,397927
6615,ITT20210748,ITT,Institute for Social Justice and Equality,Pest control services for a pest-free environment.,2021-11-22,SwiftCrest Property Management,133604
6616,ITT20210749,ITT,Federal Agency for Environmental Protection,Pest control services for a pest-free environment.,2021-11-23,GoldenGate Facility Masters,101856
6617,ITT20210750,ITT,Agency for Cultural Preservation and Heritage,Waste management and recycling program implementation.,2021-11-23,ApexGuard Facility Services,121357
6618,ITT20210751,ITT,Office of International Relations and Diplomatic Affairs,Comprehensive janitorial services and cleanliness maintenance.,2021-11-23,BlueSail Property Experts,473324
6619,ITT20210752,ITT,Bureau of Urban Development and Infrastructure,Parking management and traffic control solutions.,2021-11-23,StarStone Facility Services,2337266
6620,ITT20210753,ITT,National Institute of Scientific Advancement,Indoor air quality monitoring and improvement measures.,2021-11-24,SkyStone Property Solutions,219443
6621,ITT20210754,ITT,Office of International Relations and Diplomatic Affairs,Parking management and traffic control solutions.,2021-11-26,GrandReach Facility Care,169399
6622,ITT20210755,ITT,Department of Public Health and Disease Control,Cleaning supplies and consumables procurement and management.,2021-11-27,InfiniteSpace Building Solutions,267856
6623,ITT20210756,ITT,Institute for Social Justice and Equality,Energy-efficient lighting installation and maintenance.,2021-11-27,SkyQuest Facility Care,439677
6624,ITT20210757,ITT,National Commission for Space Exploration,Expert landscaping and groundskeeping solutions.,2021-11-28,SecureSpace Management,260632
6625,ITT20210758,ITT,Department of Energy Conservation and Sustainability,Pest control services for a pest-free environment.,2021-11-28,UrbanGuard Facilities,537467
6626,ITT20210759,ITT,Institute for Social Justice and Equality,Renovation and remodeling project management.,2021-11-29,GoldenHarbor Management,185734
6627,ITT20210760,ITT,Department of Advanced Technological Research,Parking management and traffic control solutions.,2021-11-29,SecurePrime Management,199311
6628,ITT20210761,ITT,Institute for Social Justice and Equality,Waste management and recycling program implementation.,2021-11-29,UrbanReach Facility Support,327479
6629,ITT20210762,ITT,Commission for Ethical Governance,Comprehensive janitorial services and cleanliness maintenance.,2021-11-29,SkyHigh Property Management,379828
6630,ITT20210763,ITT,Department of Advanced Technological Research,Indoor air quality monitoring and improvement measures.,2021-11-30,SkyHigh Property Management,189668
6631,ITT20210764,ITT,Office of International Relations and Diplomatic Affairs,Pest control services for a pest-free environment.,2021-11-30,GreenLine Building Experts,194152
